Seqtype	Species	Sample	Read	Filepath
RNA-seq	M_lucifugus	SRR10083338	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10083338_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10083339	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10083339_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10083340	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10083340_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10083351	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10083351_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10083352	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10083352_R2.fastq.gz
RNA-seq	M_lucifugus	SRR1013468	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR1013468_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10512805	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10512805_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10512806	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10512806_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10512807	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10512807_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10512808	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10512808_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10512809	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10512809_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10512818	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10512818_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10512829	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10512829_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10512840	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10512840_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10512845	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10512845_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10512846	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10512846_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10512847	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10512847_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10512848	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10512848_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10512849	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10512849_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10512850	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10512850_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10512851	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10512851_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10512852	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10512852_R2.fastq.gz
RNA-seq	M_lucifugus	SRR1270869	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR1270869_R2.fastq.gz
RNA-seq	M_lucifugus	SRR1270914	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR1270914_R2.fastq.gz
RNA-seq	M_lucifugus	SRR1270919	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR1270919_R2.fastq.gz
RNA-seq	M_lucifugus	SRR1270921	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR1270921_R2.fastq.gz
RNA-seq	M_lucifugus	SRR1270922	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR1270922_R2.fastq.gz
RNA-seq	M_lucifugus	SRR1270923	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR1270923_R2.fastq.gz
RNA-seq	M_lucifugus	SRR1869462	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR1869462_R2.fastq.gz
RNA-seq	M_lucifugus	SRR18761563	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR18761563_R2.fastq.gz
RNA-seq	M_lucifugus	SRR18761564	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR18761564_R2.fastq.gz
RNA-seq	M_lucifugus	SRR18761565	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR18761565_R2.fastq.gz
RNA-seq	M_lucifugus	SRR18761566	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR18761566_R2.fastq.gz
RNA-seq	M_lucifugus	SRR18761567	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR18761567_R2.fastq.gz
RNA-seq	M_lucifugus	SRR18761568	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR18761568_R2.fastq.gz
RNA-seq	M_lucifugus	SRR18761569	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR18761569_R2.fastq.gz
RNA-seq	M_lucifugus	SRR18761570	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR18761570_R2.fastq.gz
RNA-seq	M_lucifugus	SRR18761571	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR18761571_R2.fastq.gz
RNA-seq	M_lucifugus	SRR18761572	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR18761572_R2.fastq.gz
RNA-seq	M_lucifugus	SRR18761573	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR18761573_R2.fastq.gz
RNA-seq	M_lucifugus	SRR18761574	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR18761574_R2.fastq.gz
RNA-seq	M_lucifugus	SRR1916825	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR1916825_R2.fastq.gz
RNA-seq	M_lucifugus	SRR1916826	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR1916826_R2.fastq.gz
RNA-seq	M_lucifugus	SRR1916827	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR1916827_R2.fastq.gz
RNA-seq	M_lucifugus	SRR1916830	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR1916830_R2.fastq.gz
RNA-seq	M_lucifugus	SRR1916832	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR1916832_R2.fastq.gz
RNA-seq	M_lucifugus	SRR1916834	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR1916834_R2.fastq.gz
RNA-seq	M_lucifugus	SRR1916836	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR1916836_R2.fastq.gz
RNA-seq	M_lucifugus	SRR1916839	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR1916839_R2.fastq.gz
RNA-seq	M_lucifugus	SRR1916841	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR1916841_R2.fastq.gz
RNA-seq	M_lucifugus	SRR1916842	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR1916842_R2.fastq.gz
RNA-seq	M_lucifugus	SRR4249979	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR4249979_R2.fastq.gz
RNA-seq	M_lucifugus	SRR4249988	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR4249988_R2.fastq.gz
RNA-seq	M_lucifugus	SRR5676382	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR5676382_R2.fastq.gz
RNA-seq	M_lucifugus	SRR5676383	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR5676383_R2.fastq.gz
RNA-seq	M_lucifugus	SRR5676395	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR5676395_R2.fastq.gz
RNA-seq	M_lucifugus	SRR5676396	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR5676396_R2.fastq.gz
RNA-seq	M_lucifugus	SRR5676402	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR5676402_R2.fastq.gz
RNA-seq	M_lucifugus	SRR6793287	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR6793287_R2.fastq.gz
RNA-seq	M_lucifugus	SRR6793288	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR6793288_R2.fastq.gz
RNA-seq	M_lucifugus	SRR6793289	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR6793289_R2.fastq.gz
RNA-seq	M_lucifugus	SRR6793290	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR6793290_R2.fastq.gz
RNA-seq	M_lucifugus	SRR6793291	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR6793291_R2.fastq.gz
RNA-seq	M_lucifugus	SRR6793292	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR6793292_R2.fastq.gz
RNA-seq	M_lucifugus	SRR6793293	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR6793293_R2.fastq.gz
RNA-seq	M_lucifugus	SRR6793294	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR6793294_R2.fastq.gz
RNA-seq	M_lucifugus	SRR6793295	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR6793295_R2.fastq.gz
RNA-seq	M_lucifugus	SRR6793296	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR6793296_R2.fastq.gz
RNA-seq	M_lucifugus	SRR6793297	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR6793297_R2.fastq.gz
RNA-seq	M_lucifugus	SRR6793298	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR6793298_R2.fastq.gz
RNA-seq	M_lucifugus	SRR6793299	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR6793299_R2.fastq.gz
RNA-seq	M_lucifugus	SRR6793300	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR6793300_R2.fastq.gz
RNA-seq	M_lucifugus	SRR6793301	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR6793301_R2.fastq.gz
RNA-seq	M_lucifugus	SRR7064951	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR7064951_R2.fastq.gz
RNA-seq	M_lucifugus	ERR2012475	R1	data/RNA-seq/M_lucifugus/SINGLE/ERR2012475.fastq.gz
RNA-seq	M_lucifugus	ERR2012476	R1	data/RNA-seq/M_lucifugus/SINGLE/ERR2012476.fastq.gz
RNA-seq	M_lucifugus	ERR2012477	R1	data/RNA-seq/M_lucifugus/SINGLE/ERR2012477.fastq.gz
RNA-seq	M_lucifugus	ERR2012478	R1	data/RNA-seq/M_lucifugus/SINGLE/ERR2012478.fastq.gz
RNA-seq	M_lucifugus	ERR2012479	R1	data/RNA-seq/M_lucifugus/SINGLE/ERR2012479.fastq.gz
RNA-seq	M_lucifugus	ERR2012480	R1	data/RNA-seq/M_lucifugus/SINGLE/ERR2012480.fastq.gz
RNA-seq	M_lucifugus	ERR2012481	R1	data/RNA-seq/M_lucifugus/SINGLE/ERR2012481.fastq.gz
RNA-seq	M_lucifugus	ERR2012482	R1	data/RNA-seq/M_lucifugus/SINGLE/ERR2012482.fastq.gz
RNA-seq	M_lucifugus	SRR522519	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR522519.fastq.gz
RNA-seq	M_lucifugus	SRR522520	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR522520.fastq.gz
RNA-seq	M_lucifugus	SRR522521	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR522521.fastq.gz
RNA-seq	M_lucifugus	SRR522846	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR522846.fastq.gz
RNA-seq	M_lucifugus	SRR522847	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR522847.fastq.gz
RNA-seq	M_lucifugus	SRR522848	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR522848.fastq.gz
RNA-seq	M_lucifugus	SRR522849	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR522849.fastq.gz
RNA-seq	M_lucifugus	SRR522850	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR522850.fastq.gz
RNA-seq	M_lucifugus	SRR5812814	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR5812814.fastq.gz
RNA-seq	M_lucifugus	SRR5812815	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR5812815.fastq.gz
RNA-seq	M_lucifugus	SRR5812816	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR5812816.fastq.gz
RNA-seq	M_lucifugus	SRR5812817	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR5812817.fastq.gz
RNA-seq	M_lucifugus	SRR5812818	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR5812818.fastq.gz
RNA-seq	M_lucifugus	SRR5812819	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR5812819.fastq.gz
RNA-seq	M_lucifugus	SRR5812820	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR5812820.fastq.gz
RNA-seq	M_lucifugus	SRR5812821	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR5812821.fastq.gz
RNA-seq	M_lucifugus	SRR5812822	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR5812822.fastq.gz
RNA-seq	M_lucifugus	SRR5812823	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR5812823.fastq.gz
RNA-seq	M_lucifugus	SRR5812824	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR5812824.fastq.gz
RNA-seq	M_lucifugus	SRR5812825	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR5812825.fastq.gz
RNA-seq	M_lucifugus	SRR5812826	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR5812826.fastq.gz
RNA-seq	M_lucifugus	SRR5812827	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR5812827.fastq.gz
RNA-seq	M_lucifugus	SRR5812828	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR5812828.fastq.gz
RNA-seq	M_lucifugus	SRR5812829	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR5812829.fastq.gz
RNA-seq	M_lucifugus	SRR5812830	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR5812830.fastq.gz
RNA-seq	M_lucifugus	SRR5812831	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR5812831.fastq.gz
RNA-seq	M_lucifugus	SRR5812832	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR5812832.fastq.gz
RNA-seq	M_lucifugus	SRR5812833	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR5812833.fastq.gz
RNA-seq	M_lucifugus	SRR5812834	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR5812834.fastq.gz
RNA-seq	M_lucifugus	SRR5812835	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR5812835.fastq.gz
RNA-seq	M_lucifugus	SRR5812836	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR5812836.fastq.gz
RNA-seq	M_lucifugus	SRR5812837	R1	data/RNA-seq/M_lucifugus/SINGLE/SRR5812837.fastq.gz
